portname;prttype;prtsize;latitude;longitude;iso3_op;top_left_lat;top_left_long;top_right_lat;top_right_long;bot_right_lat;bot_right_long;bot_left_lat;bot_left_long
Lingga;Sea;Unknown;1,35466;111,16914;MYS;1,85466;111,66914;0,85466;111,66914;1,85466;110,66914;0,85466;110,66914
Seria;Sea;Unknown;4,61937;114,32406;BRN;5,11937;114,82406;4,11937;114,82406;5,11937;113,82406;4,11937;113,82406
Cavite;Sea;Unknown;14,48319;120,90876;PHL;14,98319;121,40876;13,98319;121,40876;14,98319;120,40876;13,98319;120,40876
Batu Pahat;Sea;Unknown;1,82598;102,9169;MYS;2,32598;103,4169;1,32598;103,4169;2,32598;102,4169;1,32598;102,4169
Muar;Sea;Unknown;2,04754;102,56614;MYS;2,54754;103,06614;1,54754;103,06614;2,54754;102,06614;1,54754;102,06614
Iligan;Sea;Small;8,23091;124,2337;PHL;8,73091;124,7337;7,73091;124,7337;8,73091;123,7337;7,73091;123,7337
Kuala Belait;Sea;Unknown;4,57512;114,19772;BRN;5,07512;114,69772;4,07512;114,69772;5,07512;113,69772;4,07512;113,69772
Muara;Sea;Unknown;5,01519;115,06536;BRN;5,51519;115,56536;4,51519;115,56536;5,51519;114,56536;4,51519;114,56536
Kuala Terengganu;Sea;Unknown;5,33304;103,15095;MYS;5,83304;103,65095;4,83304;103,65095;5,83304;102,65095;4,83304;102,65095
Sangi;Sea;Unknown;10,38674;123,63807;PHL;10,88674;124,13807;9,88674;124,13807;10,88674;123,13807;9,88674;123,13807
Cirebon;Sea;Medium;-6,70907;108,57073;IDN;-6,20907;109,07073;-7,20907;109,07073;-6,20907;108,07073;-7,20907;108,07073
Banjarmasin;Sea;Medium;-3,33321;114,5551;IDN;-2,83321;115,0551;-3,83321;115,0551;-2,83321;114,0551;-3,83321;114,0551
Sattahip;Sea;Medium;12,62933;100,92319;THA;13,12933;101,42319;12,12933;101,42319;13,12933;100,42319;12,12933;100,42319
Bengkulu;Sea;Small;-3,78501;102,25083;IDN;-3,28501;102,75083;-4,28501;102,75083;-3,28501;101,75083;-4,28501;101,75083
Makassar;Sea;Medium;-5,13222;119,40315;IDN;-4,63222;119,90315;-5,63222;119,90315;-4,63222;118,90315;-5,63222;118,90315
Nunukan;Sea;Small;4,1448;117,66647;IDN;4,6448;118,16647;3,6448;118,16647;4,6448;117,16647;3,6448;117,16647
Balikpapan;Sea;Medium;-1,25527;116,81594;IDN;-0,75527;117,31594;-1,75527;117,31594;-0,75527;116,31594;-1,75527;116,31594
Singkawang;Sea;Small;0,91919;108,96726;IDN;1,41919;109,46726;0,41919;109,46726;1,41919;108,46726;0,41919;108,46726
Phu My;River;Small;10,59835;107,02394;VNM;11,09835;107,52394;10,09835;107,52394;11,09835;106,52394;10,09835;106,52394
Jambi;River;Medium;-1,58304;103,62216;IDN;-1,08304;104,12216;-2,08304;104,12216;-1,08304;103,12216;-2,08304;103,12216
Currimao;Sea;Very Small;18,01785;120,48452;PHL;18,51785;120,98452;17,51785;120,98452;18,51785;119,98452;17,51785;119,98452
Pasacao;Sea;Small;13,50529;123,04058;PHL;14,00529;123,54058;13,00529;123,54058;14,00529;122,54058;13,00529;122,54058
Tandayag;Sea;Very Small;9,52956;123,30495;PHL;10,02956;123,80495;9,02956;123,80495;10,02956;122,80495;9,02956;122,80495
Atimonan;Sea;Unknown;13,99994;121,92822;PHL;14,49994;122,42822;13,49994;122,42822;14,49994;121,42822;13,49994;121,42822
Nha Trang;Sea;Small;12,20648;109,21552;VNM;12,70648;109,71552;11,70648;109,71552;12,70648;108,71552;11,70648;108,71552
Uleelheue;Sea;Small;5,56424;95,29462;IDN;6,06424;95,79462;5,06424;95,79462;6,06424;94,79462;5,06424;94,79462
Matnog;Sea;Small;12,58499;124,08599;PHL;13,08499;124,58599;12,08499;124,58599;13,08499;123,58599;12,08499;123,58599
Lahad Datu;Sea;Unknown;5,0203;118,34969;MYS;5,5203;118,84969;4,5203;118,84969;5,5203;117,84969;4,5203;117,84969
Sipitang;Sea;Unknown;5,06726;115,54321;MYS;5,56726;116,04321;4,56726;116,04321;5,56726;115,04321;4,56726;115,04321
Culion;Sea;Unknown;11,8947;120,01966;PHL;12,3947;120,51966;11,3947;120,51966;12,3947;119,51966;11,3947;119,51966
Dumaguete;Sea;Small;9,31297;123,31026;PHL;9,81297;123,81026;8,81297;123,81026;9,81297;122,81026;8,81297;122,81026
Phnom Penh;River;Medium;11,55954;104,93739;KHM;12,05954;105,43739;11,05954;105,43739;12,05954;104,43739;11,05954;104,43739
Manggar;Sea;Small;-2,84891;108,28992;IDN;-2,34891;108,78992;-3,34891;108,78992;-2,34891;107,78992;-3,34891;107,78992
Tegal;Sea;Small;-6,84997;109,12879;IDN;-6,34997;109,62879;-7,34997;109,62879;-6,34997;108,62879;-7,34997;108,62879
Jayapura;Sea;Small;-2,54543;140,71354;IDN;-2,04543;141,21354;-3,04543;141,21354;-2,04543;140,21354;-3,04543;140,21354
Bula;Sea;Very Small;-3,10408;130,50113;IDN;-2,60408;131,00113;-3,60408;131,00113;-2,60408;130,00113;-3,60408;130,00113
Poso;Sea;Small;-1,38242;120,75516;IDN;-0,88242;121,25516;-1,88242;121,25516;-0,88242;120,25516;-1,88242;120,25516
Virac;Sea;Small;13,58185;124,23399;PHL;14,08185;124,73399;13,08185;124,73399;14,08185;123,73399;13,08185;123,73399
Chiang Saen;River;Unknown;20,26754;100,08984;THA;20,76754;100,58984;19,76754;100,58984;20,76754;99,58984;19,76754;99,58984
Hue;Sea;Unknown;16,49739;107,58781;VNM;16,99739;108,08781;15,99739;108,08781;16,99739;107,08781;15,99739;107,08781
Aparri;Sea;Small;18,36124;121,62959;PHL;18,86124;122,12959;17,86124;122,12959;18,86124;121,12959;17,86124;121,12959
Masbate;Sea;Small;12,36842;123,61672;PHL;12,86842;124,11672;11,86842;124,11672;12,86842;123,11672;11,86842;123,11672
Pattani;Sea;Unknown;6,89974;101,25569;THA;7,39974;101,75569;6,39974;101,75569;7,39974;100,75569;6,39974;100,75569
Romblon;Sea;Small;12,57774;122,26921;PHL;13,07774;122,76921;12,07774;122,76921;13,07774;121,76921;12,07774;121,76921
Kantang;Sea;Unknown;7,41069;99,50939;THA;7,91069;100,00939;6,91069;100,00939;7,91069;99,00939;6,91069;99,00939
Kota Kinabalu;Sea;Unknown;5,99128;116,07988;MYS;6,49128;116,57988;5,49128;116,57988;6,49128;115,57988;5,49128;115,57988
Hondagua;Sea;Unknown;13,94495;122,24133;PHL;14,44495;122,74133;13,44495;122,74133;14,44495;121,74133;13,44495;121,74133
Puerto Princesa;Sea;Small;9,74241;118,72848;PHL;10,24241;119,22848;9,24241;119,22848;10,24241;118,22848;9,24241;118,22848
Ozamis;Sea;Small;8,14078;123,84535;PHL;8,64078;124,34535;7,64078;124,34535;8,64078;123,34535;7,64078;123,34535
Johor Bahru;Sea;Unknown;1,45978;103,73605;MYS;1,95978;104,23605;0,95978;104,23605;1,95978;103,23605;0,95978;103,23605
Kuching;Sea;Unknown;1,55509;110,36798;MYS;2,05509;110,86798;1,05509;110,86798;2,05509;109,86798;1,05509;109,86798
Limbang;Sea;Unknown;4,75264;115,00875;MYS;5,25264;115,50875;4,25264;115,50875;5,25264;114,50875;4,25264;114,50875
Tandoc;Sea;Unknown;14,05485;123,29906;PHL;14,55485;123,79906;13,55485;123,79906;14,55485;122,79906;13,55485;122,79906
Calapan;Sea;Small;13,42605;121,19532;PHL;13,92605;121,69532;12,92605;121,69532;13,92605;120,69532;12,92605;120,69532
Padang;Sea;Medium;-1,00017;100,37084;IDN;-0,50017;100,87084;-1,50017;100,87084;-0,50017;99,87084;-1,50017;99,87084
Sinabang;Sea;Small;2,47859;96,38228;IDN;2,97859;96,88228;1,97859;96,88228;2,97859;95,88228;1,97859;95,88228
Banyuwangi;Sea;Small;-8,20596;114,38447;IDN;-7,70596;114,88447;-8,70596;114,88447;-7,70596;113,88447;-8,70596;113,88447
Semarang;Sea;Medium;-6,9467;110,42515;IDN;-6,4467;110,92515;-7,4467;110,92515;-6,4467;109,92515;-7,4467;109,92515
Ambon;Sea;Small;-3,6941;128,17627;IDN;-3,1941;128,67627;-4,1941;128,67627;-3,1941;127,67627;-4,1941;127,67627
Kendari;Sea;Small;-3,97245;122,57729;IDN;-3,47245;123,07729;-4,47245;123,07729;-3,47245;122,07729;-4,47245;122,07729
Manado;Sea;Small;1,49881;124,84053;IDN;1,99881;125,34053;0,99881;125,34053;1,99881;124,34053;0,99881;124,34053
Sangkulirang;Sea;Small;0,98721;117,98446;IDN;1,48721;118,48446;0,48721;118,48446;1,48721;117,48446;0,48721;117,48446
Bang Saphan;Sea;Unknown;11,20683;99,57833;THA;11,70683;100,07833;10,70683;100,07833;11,70683;99,07833;10,70683;99,07833
Brookes Point;Sea;Small;8,77353;117,82946;PHL;9,27353;118,32946;8,27353;118,32946;9,27353;117,32946;8,27353;117,32946
Ranong;Sea;Unknown;9,98089;98,60073;THA;10,48089;99,10073;9,48089;99,10073;10,48089;98,10073;9,48089;98,10073
Cua Lo;Sea;Unknown;18,82878;105,71075;VNM;19,32878;106,21075;18,32878;106,21075;19,32878;105,21075;18,32878;105,21075
Allen;Sea;Very Small;12,50456;124,28435;PHL;13,00456;124,78435;12,00456;124,78435;13,00456;123,78435;12,00456;123,78435
Tabuelan;Sea;Very Small;10,83157;123,87037;PHL;11,33157;124,37037;10,33157;124,37037;11,33157;123,37037;10,33157;123,37037
Buatan;River;Very Small;0,74603;101,81754;IDN;1,24603;102,31754;0,24603;102,31754;1,24603;101,31754;0,24603;101,31754
Nasugbu;Sea;Unknown;14,07678;120,62445;PHL;14,57678;121,12445;13,57678;121,12445;14,57678;120,12445;13,57678;120,12445
Port Dickson;Sea;Unknown;2,52218;101,80015;MYS;3,02218;102,30015;2,02218;102,30015;3,02218;101,30015;2,02218;101,30015
